text,screen_name,tweet_date,tweet_url,image_url,reply_text,related_urls,mentions_list,hashtag_list,week,year,tweet_id,url_check,alt_text
"Thanks to historical twitter data collected by @thomas_mock, the #TidyTuesday database now has tweets dating back to 2018! 🥳

6100+ searchable tweets w/ #dataviz creations from 1400+ participants 🤩

Check it out! https://t.co/8xtZrBMjML

#RStats #ggplot2
https://t.co/IfkF58lt52 https://t.co/GvjNlOIVAd",spcanelon,2021-01-14T14:43:50Z,https://twitter.com/spcanelon/status/1349728938268962819/photo/1,http://pbs.twimg.com/media/ErsyJiYUYAQL2r6.jpg,NA,"http://tiny.cc/notion-dataviz, https://twitter.com/thomas_mock/status/1349351636167258121?s=20",thomas_mock,"TidyTuesday, dataviz, RStats, ggplot2",2,2021,1349728938268962816,Links included,"The Notion 2018 TidyTuesday database showing a gallery of all the data visualizations in the collection, organized in a grid"
"Alright code is fixed! Let's try this again...

#TidyTuesday Week 3: Artists owned by Tate Art Museum🖼️

I tried to make something reminiscent of an art gallery/abstract art piece. Particularly inspired by Kandinsky's Several Circles.

💻: https://t.co/WqGcAbKszS https://t.co/MsGD0hkUsE",MaiaPelletier,2021-01-14T17:59:35Z,https://twitter.com/MaiaPelletier/status/1349778199589359618/photo/1,http://pbs.twimg.com/media/Ertfll9WMAI5fVo.jpg,NA,https://github.com/MaiaPelletier/tidytuesday/blob/master/R/2021_Week03_TateArt.R,NA,TidyTuesday,2,2021,1349778199589359616,Links included,Image
"For this #tidytuesday I looked at the representation of artists and artworks according to their gender for the artworks acquired by Tate Museum since 1900.

Code : https://t.co/Pqie3OtgA3

#rstats #dataviz #TidyTuesday #ggplot2 https://t.co/eHU7m2nrdH",cnicault,2021-01-14T18:34:10Z,https://twitter.com/cnicault/status/1349786903399325697/photo/1,http://pbs.twimg.com/media/Ertnz_RXUAY4sIz.png,NA,https://github.com/cnicault/tidytuesday,NA,"tidytuesday, rstats, dataviz, TidyTuesday, ggplot2",2,2021,1349786903399325696,Links included,Image
"This #TidyTuesday I made a coffee stain plot with @Tate data. Inspired from a global warming visualization by @Bevacqua_E. (see here: https://t.co/SKeEpy1ZwW)

code: https://t.co/t66Yv3tgZz
#rstats, #ggplot2, #tidyverse, #r4ds, #dataviz https://t.co/0nmfYiFQkN",botanagin,2021-01-14T18:43:47Z,https://twitter.com/botanagin/status/1349789322640240640/photo/1,http://pbs.twimg.com/media/ErtqAuTXMAIgeQ4.jpg,NA,"https://emanuele.bevacqua.eu/climatevisuals, http://git.io/JtJP1","Tate, Bevacqua_E","TidyTuesday, rstats, ggplot2, tidyverse, r4ds, dataviz",2,2021,1349789322640240640,Links included,Image
"#TidyTuesday week 03

This time I try to learn {cowplot} and {grid} pkgs.
I explore the top artists and countries of artworks in the @tate museum. 

#rstats #ggplot2 

code: https://t.co/WGTwnrSkSH https://t.co/ivviThgaen",avrodrigues_,2021-01-14T19:23:03Z,https://twitter.com/avrodrigues_/status/1349799207289413642/photo/1,http://pbs.twimg.com/media/ErtywkCW8AEE4mm.png,NA,https://github.com/avrodrigues/Tidy_tuesday/tree/main/2021/week03,Tate,"TidyTuesday, rstats, ggplot2",2,2021,1349799207289413632,Links included,Image
"This #TidyTuesday I googled 331 US born artists to find the race of each artist. Proportion of US born artist's artwork acquired over time by race. Only 11 Black US born artists represented. 

Code: https://t.co/q93g4IvfLk https://t.co/VgDdZh2nX2",jessdyer20,2021-01-14T20:33:45Z,https://twitter.com/jessdyer20/status/1349816998750928898/photo/1,http://pbs.twimg.com/media/EruCSFJVEAAEPP5.jpg,NA,https://tinyurl.com/y6mtrovp,NA,TidyTuesday,2,2021,1349816998750928896,Links included,Image
"I also created a circular view that shows the colors in each work (each radial represents a painting). Again, code credit for pulling the colors from images and this radial representation go to @chisatini #TidyTuesday #rstats #ggplot2 #dataviz https://t.co/NcA6Fe5oEn",datasciencejenn,2021-01-14T20:39:58Z,https://twitter.com/datasciencejenn/status/1349818563469561856/photo/1,http://pbs.twimg.com/media/EruEliDVgAAIvIq.png,NA,NA,chisatini,"TidyTuesday, rstats, ggplot2, dataviz",2,2021,1349818563469561856,Images-only,"A bar graph showing the colors used by Turner in his oil paint on canvas works over time by year. Turner uses mostly shades of brown and green. In 1827, he brings in many shades of blue, and in 1829, he is focused in shades of yellow, orange, and brown."
"With art from 129 countries in their collection, the @Tate is certifiably international. In my #TidyTuesday this week, I show how international representation in their collection has grown over time #rstats

code: https://t.co/CBMaKiiw8j https://t.co/WUOzBpDj7M",CharlieGallaghr,2021-01-14T21:56:56Z,https://twitter.com/CharlieGallaghr/status/1349837931196915714/photo/1,http://pbs.twimg.com/media/EruV86cW4AUY-wR.jpg,NA,https://bit.ly/3qjswxa,Tate,"TidyTuesday, rstats",2,2021,1349837931196915712,Links included,Image
Late #TidyTuesday looking at the number of pieces of art acquired by the Tate Modern by year of artwork creation. The 1800s are highly represented. #rstats code: https://t.co/LCv8XhH5Ss https://t.co/9S3Uai7Hvi,tessuheagle,2021-01-15T00:17:27Z,https://twitter.com/tessuheagle/status/1349873292505608192/photo/1,http://pbs.twimg.com/media/Eru2IKVVcAgwigK.png,NA,https://github.com/tessaeagle/TidyTuesday/blob/master/2021/1_12_21.R,NA,"TidyTuesday, rstats",3,2021,1349873292505608192,Links included,Image
"For week 3 of #TidyTuesday 2021, I'm using #rstats to explore the age at which the 20 most prolific artists featured by the #TateMuseum in London produced their featured works. Two interesting finds; artists' ages vary widely and many works are found/dated posthumously https://t.co/uOzLDl333M",kdfs16,2021-01-15T01:11:56Z,https://twitter.com/kdfs16/status/1349887006726361088/photo/1,http://pbs.twimg.com/media/ErvCzVoWMAAmUQT.jpg,NA,NA,NA,"TidyTuesday, rstats, TateMuseum",3,2021,1349887006726361088,Images-only,Image
"Week 3 of #TidyTuesday!

Visualizing the area of Tate Collection artworks over time.
Hang it in the L̵o̵u̵v̵r̵e̵ Tate 😅
#Rstats #theme_few

Code: https://t.co/HtMSIMGqbe https://t.co/mSqtAwRpVs",francisc0o_o0,2021-01-15T01:35:10Z,https://twitter.com/francisc0o_o0/status/1349892852256546818/photo/1,http://pbs.twimg.com/media/ErvIQEiXYAk6kOL.jpg,NA,https://github.com/fgarza55/tidytuesday/blob/master/Code/2021_01_12_tate_museum.Rmd,NA,"TidyTuesday, Rstats, theme_few",3,2021,1349892852256546816,Links included,Image
#MakingOf of this week's #TidyTuesday plot https://t.co/ysWILNZco3 https://t.co/HhuwllhfLt,geokaramanis,2021-01-15T08:49:37Z,https://twitter.com/geokaramanis/status/1350002183744454657/video/1,http://pbs.twimg.com/ext_tw_video_thumb/1350001929779339264/pu/img/t-TlsR3GUmwi9AaL.jpg,NA,https://twitter.com/geokaramanis/status/1349286641807056898,NA,"MakingOf, TidyTuesday",3,2021,1350002183744454656,Links included,"Plot showing number of acquisitions of works of art by Tate by year, from 1823 to 2013"
"I went ultra-simple for #TidyTuesday, but a new thing for me was using the {#glue} 📦 which I love. Code on my GitHub https://t.co/eMRb3GP0G0. A visualisation about the Tate's favourite artist. https://t.co/EfzRddNAbm",JDavison_,2021-01-15T11:15:04Z,https://twitter.com/JDavison_/status/1350038790392475649/photo/1,http://pbs.twimg.com/media/ErxM1zMXUAISJyr.jpg,NA,https://github.com/jack-davison,NA,"TidyTuesday, glue",3,2021,1350038790392475648,Links included,Image
"Last spring, faced with more alone time indoors, I decided to learn dataviz in R.  With the support of the amazing community and lots of free online resources, I have finally made a moderately okay plot for #TidyTuesday #rstats #ggplot2 https://t.co/wNj4w2lK17",joieprout,2021-01-15T15:04:50Z,https://twitter.com/joieprout/status/1350096613302218758/photo/1,http://pbs.twimg.com/media/EryBjxOW8AEVJFa.jpg,NA,NA,NA,"TidyTuesday, rstats, ggplot2",3,2021,1350096613302218752,Images-only,Image
"Inspired by @geokaramanis 
#RStats  #TidyTuesday
code: https://t.co/nm0pPyQ0hh https://t.co/VkHV3e3JeO",Bennour007sin,2021-01-15T16:06:08Z,https://twitter.com/Bennour007sin/status/1350112040078159876/photo/1,http://pbs.twimg.com/media/EryO2vTXcAA3Uyb.jpg,NA,https://github.com/bennour007/tidy/tree/master/week3-2021,geokaramanis,"RStats, TidyTuesday",3,2021,1350112040078159872,Links included,Image
"A quick set of plots using this week's #TidyTuesday data on  the Tate Museum Collection.
#rstats.

First a look at the time that passes between creation and acquisition of the artwork. Of course biased because the Tate did not exist in the XVI century :-) https://t.co/AIi8SHYpkQ",jmcastagnetto,2021-01-15T16:24:45Z,https://twitter.com/jmcastagnetto/status/1350116724193062915/photo/1,http://pbs.twimg.com/media/ErySz2cXIAEA7Of.jpg,NA,NA,NA,"TidyTuesday, rstats",3,2021,1350116724193062912,Images-only,Image
"Then, I looked at how the dimensions have been distributed over the centuries. There is more variability in more recent times.
#rstats #TidyTuesday https://t.co/AScxm6VVut",jmcastagnetto,2021-01-15T16:24:47Z,https://twitter.com/jmcastagnetto/status/1350116731050733573/photo/1,http://pbs.twimg.com/media/EryTPAzXEAYczDt.jpg,"Finally, having some fun with {tidytext}, looking at what media has been more ""popular"" in the Tate's artwork over the centuries. Also, a chance to use ""reorder_within()"" to get nicely ordered bars.
#rstats #TidyTuesday 
Code at: https://t.co/9VOU4KWWIq https://t.co/TGLlCqlzTt",https://github.com/jmcastagnetto/tidytuesday-kludges,NA,"rstats, TidyTuesday",3,2021,1350116731050733568,Links included,Image
"Finally, having some fun with {tidytext}, looking at what media has been more ""popular"" in the Tate's artwork over the centuries. Also, a chance to use ""reorder_within()"" to get nicely ordered bars.
#rstats #TidyTuesday 
Code at: https://t.co/9VOU4KWWIq https://t.co/TGLlCqlzTt",jmcastagnetto,2021-01-15T16:24:48Z,https://twitter.com/jmcastagnetto/status/1350116737954541571/photo/1,http://pbs.twimg.com/media/EryT-KiW8AMnjNJ.jpg,NA,https://github.com/jmcastagnetto/tidytuesday-kludges,NA,"rstats, TidyTuesday",3,2021,1350116737954541568,Links included,Image
"#TidyTuesday 2021-01-12. Almost half of Tate artworks are by Turner, Joseph Mallord William, so I decided to focus on him. #rstats #dataviz
code: https://t.co/Z2TtXvZoOM https://t.co/MB0DASu9XR",iaroslav_domin,2021-01-15T17:10:57Z,https://twitter.com/iaroslav_domin/status/1350128349306355715/photo/1,http://pbs.twimg.com/media/EryeTj_WMAYUoeX.png,NA,https://github.com/idmn/tidytuesday-my/tree/main/2021/2021-01-12,NA,"TidyTuesday, rstats, dataviz",3,2021,1350128349306355712,Links included,Image
